Date,DISTRICT,mean
2010-02,Kurnool,0.053850137880563705
2010-02,Mahbubnagar,0.9863522146077934
2010-02,Medak,4.801013252149665
2010-02,Nalgonda,5.01079199014193
2010-02,Sri Potti Sriramulu Nellore,0.2686553858478379
2010-02,Nizamabad,8.524920790452324
2010-02,Prakasam,1.4501975332468793
2010-02,Rangareddy,2.62371629133498
2010-02,Srikakulam,11.580898764392378
2010-02,Visakhapatnam,9.35591863303522
2010-02,Vizianagaram,10.167129271640768
2010-02,Warangal,9.353475952517119
2010-02,West Godavari,1.9491735996186546
2010-03,Adilabad,13.016767690442244
2010-03,Anantapur,2.95883299085893
2010-03,Chittoor,9.044959826002973
2010-03,Y.s.r.,3.492412934835188
2010-03,East Godavari,9.294241618727861
2010-03,Guntur,10.076761852680358
2010-03,Hyderabad,10.545589297990581
2010-03,Karimnagar,11.911227836729614
2010-03,Khammam,12.327034174359161
2010-03,Krishna,8.492495477267449
2010-03,Kurnool,4.821421566825267
2010-03,Mahbubnagar,6.039714893883214
2010-03,Medak,11.414204782971941
2010-03,Nalgonda,11.59654923958308
2010-03,Sri Potti Sriramulu Nellore,5.69043159434898
2010-03,Nizamabad,11.407694315420528
2010-03,Prakasam,8.301241864961101
2010-03,Rangareddy,8.447208823401521
2010-03,Srikakulam,18.346868662316986
2010-03,Visakhapatnam,19.281798830417234
2010-03,Vizianagaram,21.181949710635376
2010-03,Warangal,12.93988452720342
2010-03,West Godavari,7.0723503362207465
2010-04,Adilabad,10.015391032191594
2010-04,Anantapur,34.275149815158436
2010-04,Chittoor,49.54175908165824
2010-04,Y.s.r.,20.8105125542443
2010-04,East Godavari,21.27901544496379
2010-04,Guntur,28.298315011908155
2010-04,Hyderabad,16.270261548560796
2010-04,Karimnagar,11.489491872524471
2010-04,Khammam,22.67153858463793
2010-04,Krishna,24.03599674881682
2010-04,Kurnool,24.535139328190997
2010-04,Mahbubnagar,22.404088998439608
2010-04,Medak,16.49709767154963
2010-04,Nalgonda,18.743145534371873
2010-04,Sri Potti Sriramulu Nellore,13.021881313514447
2010-04,Nizamabad,11.233607183484166
2010-04,Prakasam,23.136919941984008
2010-04,Rangareddy,20.339007860254657
2010-04,Srikakulam,11.5757217500807
2010-04,Visakhapatnam,32.69088943616978
2010-04,Vizianagaram,21.811848603677404
2010-04,Warangal,14.696619537846281
2010-04,West Godavari,16.257350200780447
2010-05,Adilabad,13.297526066190478
2010-05,Anantapur,60.541868460426464
2010-05,Chittoor,65.57845621376521
2010-05,Y.s.r.,61.612284033983755
2010-05,East Godavari,123.54360108293409
2010-05,Guntur,84.16440563327308
2010-05,Hyderabad,32.56472436509858
2010-05,Karimnagar,19.659896475615238
2010-05,Khammam,119.70305537959818
2010-05,Krishna,126.19374704182012
2010-05,Kurnool,50.37593653119203
2010-05,Mahbubnagar,41.69850988287777
2010-05,Medak,19.48676431026201
2010-05,Nalgonda,50.76789663894678
2010-05,Sri Potti Sriramulu Nellore,44.12002991357799
2010-05,Nizamabad,13.200184521324404
2010-05,Prakasam,67.26829046024169
2010-05,Rangareddy,31.347642237693265
2010-05,Srikakulam,115.86917140387934
2010-05,Visakhapatnam,133.34364866400998
2010-05,Vizianagaram,128.21706297129987
2010-05,Warangal,58.175078914799755
2010-05,West Godavari,127.57043518859038
2010-06,Adilabad,136.4778827161241
2010-06,Anantapur,54.76135214440623
2010-06,Chittoor,141.54166656003676
2010-06,Y.s.r.,115.53486829797133
2010-06,East Godavari,186.90766999384985
2010-06,Guntur,123.93859731293833
2010-06,Hyderabad,101.30257030289536
2010-06,Karimnagar,138.10859184308268
2010-06,Khammam,175.69217080328434
2010-06,Krishna,155.7224988095455
2010-06,Kurnool,136.1928657756428
2010-06,Mahbubnagar,126.22734393143989
2010-06,Medak,127.71495406659577
2010-06,Nalgonda,119.45664257192554
2010-06,Sri Potti Sriramulu Nellore,85.68516432424549
2010-06,Nizamabad,135.71420885037745
2010-06,Prakasam,120.17519911115185
2010-06,Rangareddy,118.75875194320444
2010-06,Srikakulam,197.12260690537187
2010-06,Visakhapatnam,209.91290680759965
2010-06,Vizianagaram,224.46091763092682
2010-06,Warangal,156.6403346064179
2010-06,West Godavari,182.87484250956493
2010-07,Adilabad,480.14011229922727
2010-07,Anantapur,73.1719305604208
2010-07,Chittoor,201.30378354216074
2010-07,Y.s.r.,177.0757130877956
2010-07,East Godavari,361.8592951416439
2010-07,Guntur,288.62406548892335
2010-07,Hyderabad,301.1345287488116
2010-07,Karimnagar,425.50634692171695
2010-07,Khammam,412.011011230429
2010-07,Krishna,333.86331032179976
2010-07,Kurnool,270.0434497685375
2010-07,Mahbubnagar,368.04707061719535
2010-07,Medak,391.6109458102484
2010-07,Nalgonda,338.2525586232574
2010-07,Sri Potti Sriramulu Nellore,141.74796068134268
2010-07,Nizamabad,416.3340021836818
2010-07,Prakasam,225.7366804919935
2010-07,Rangareddy,357.74573278228104
2010-07,Srikakulam,241.38041522650144
2010-07,Visakhapatnam,374.61733844716707
2010-07,Vizianagaram,340.74505230030974
2010-07,Warangal,381.9607987345997
2010-07,West Godavari,352.3829456119143
2010-08,Adilabad,536.7672389625114
2010-08,Anantapur,116.22581995995588
2010-08,Chittoor,227.20017027955575
2010-08,Y.s.r.,205.35007188600235
2010-08,East Godavari,377.2996249716153
2010-08,Guntur,276.5807659713069
2010-08,Hyderabad,331.2662132351144
2010-08,Karimnagar,455.14705958344433
2010-08,Khammam,455.44192151263184
2010-08,Krishna,307.03788740909494
2010-08,Kurnool,227.25301559774303
2010-08,Mahbubnagar,345.7558523130358
2010-08,Medak,459.22710693379986
2010-08,Nalgonda,306.21413043551854
2010-08,Sri Potti Sriramulu Nellore,187.63557626576429
2010-08,Nizamabad,521.4646648231155
2010-08,Prakasam,248.97363668750697
2010-08,Rangareddy,397.85546860480116
2010-08,Srikakulam,254.17002915771027
2010-08,Visakhapatnam,376.70298465280297
2010-08,Vizianagaram,309.10984931291324
2010-08,Warangal,407.11717689114823
2010-08,West Godavari,365.5882192108929
2010-09,Adilabad,290.8625849256138
2010-09,Anantapur,123.43231606707276
2010-09,Chittoor,139.05185749699075
2010-09,Y.s.r.,128.14964575844905
2010-09,East Godavari,239.99882041040723
2010-09,Guntur,259.39388216177684
2010-09,Hyderabad,215.08625626702903
2010-09,Karimnagar,303.74201919122686
2010-09,Khammam,283.2023451622702
2010-09,Krishna,280.72155947729595
2010-09,Kurnool,160.40564964847871
2010-09,Mahbubnagar,181.26111850445255
2010-09,Medak,248.90153070895326
2010-09,Nalgonda,230.72104167890527
2010-09,Sri Potti Sriramulu Nellore,148.42665519064508
2010-09,Nizamabad,256.33477190056004
2010-09,Prakasam,204.3486063421963
